id,series,talks_list,website,series_info
76,"Cosmology at the Crossroads (Feb. 2021)",[[talks]](/cosmotalks/talks?series=76),[[website]](https://physics.sbu.ac.ir/conferences/tmcc2021/),""
2,"Cosmology from Home 2020",[[talks]](/cosmotalks/talks?series=2),[[website]](https://cosmologyfromhome.com/cosmology-from-home-2020/),""
107,"Cosmology from Home 2021",[[talks]](/cosmotalks/talks?series=107),[[website]](https://www.youtube.com/playlist?list=PLbV-Vnyt_ZBu3iYtnzkytd3Lfzfo6Mrxb),""
157,"Cosmology from Home 2022",[[talks]](/cosmotalks/talks?series=157),[[website]](https://www.youtube.com/playlist?list=PLbV-Vnyt_ZBtjsLMdX-pcI_yTaKoyAK15),""
194,"Cosmology from Home 2023",[[talks]](/cosmotalks/talks?series=194),[[website]](https://www.youtube.com/playlist?list=PLbV-Vnyt_ZBtIeg3T-coefACs6ez-M-9G),""
121,"Cosmology Group UOI",[[talks]](/cosmotalks/talks?series=121),[[website]](https://cosmology.physics.uoi.gr/seminars/),""
132,"Cosmology in Colombia 2021",[[talks]](/cosmotalks/talks?series=132),[[website]](https://www.youtube.com/playlist?list=PLLFQXRtvkurVuMhJx-I9EZ9aGMGrZXfP7),""
61,"Cosmology Lecture series by Leonard Susskind",[[talks]](/cosmotalks/talks?series=61),[[website]](https://www.youtube.com/watch?v=P-medYaqVak&list=PLvh0vlLitZ7c8Avsn6gUaWX05uD5cedO-&index=1),""
67,"Cosmology on the Beach",[[talks]](/cosmotalks/talks?series=67),[[website]](https://www.youtube.com/watch?v=DROKbWk2cj4&list=PLvdNof40rNJmAqLCsIJmMH4zvFSLQ6f0N&index=1),""
70,"Cosmology Schools at Jagiellonian University",[[talks]](/cosmotalks/talks?series=70),[[website]](https://www.youtube.com/@CosmologySchool/videos),"<a href=""http://cosmoschool2022.oa.uj.edu.pl/"">5th School website</a>"
1,"Cosmology Talks (Shaun Hotchkiss)",[[talks]](/cosmotalks/talks?series=1),[[website]](https://www.youtube.com/c/CosmologyTalks/videos),""
21,"Cosmos from Your Couch",[[talks]](/cosmotalks/talks?series=21),[[website]](https://www.dunlap.utoronto.ca/public-outreach/couch-cosmos/),""
39,CosmoTools18,[[talks]](/cosmotalks/talks?series=39),[[website]](https://indico.cern.ch/event/688110/),""
171,CosmoVerse,[[talks]](/cosmotalks/talks?series=171),[[website]](https://www.youtube.com/channel/UCMzvEXpyX1X9JXCMX60W9Cw/videos),"<a href=""https://cosmoversetensions.eu/outreach-and-education/listen-to-our-scientists/"">events site</a>"
33,"Dark Energy Survey",[[talks]](/cosmotalks/talks?series=33),[[website]](https://www.youtube.com/channel/UCkAD7Un4aX--Y2ETTs_mImQ/videos),""
134,"Dartmouth Physics and Astronomy",[[talks]](/cosmotalks/talks?series=134),[[website]](https://physics.dartmouth.edu/news-events/physics-and-astronomy-colloquia),""
23,DESY,[[talks]](/cosmotalks/talks?series=23),[[website]](https://webcast.desy.de/),""
206,"Dublin Institute for Advanced Studies",[[talks]](/cosmotalks/talks?series=206),[[website]](https://www.youtube.com/@DIASDublin),""
106,"Durham University",[[talks]](/cosmotalks/talks?series=106),[[website]](https://icc.dur.ac.uk/),""
204,"EoR India schools & workshops on 21-cm cosmology",[[talks]](/cosmotalks/talks?series=204),[[website]](https://www.youtube.com/@eorindiaworkshop7255/featured),"<a href=""https://www.niser.ac.in/events/adv21cm/"">2023 event website</a>"
13,"ESO H0 2020 Conference",[[talks]](/cosmotalks/talks?series=13),[[website]](https://www.eso.org/sci/meetings/2020/H0/program.html),"<a href=""https://www.eso.org/sci/meetings/2020/H0/program.html"">program site with slides etc.</a>"
149,"ESO Hypatia Colloquium",[[talks]](/cosmotalks/talks?series=149),[[website]](https://www.youtube.com/c/HypatiaColloquium/videos),""
146,"ESO Seminars and Colloquia",[[talks]](/cosmotalks/talks?series=146),[[website]](https://www.eso.org/public/djangoplicity/events/archive/site_embed/eso-garching/?audience=s),""
25,Fermilab,[[talks]](/cosmotalks/talks?series=25),[[website]](https://indico.fnal.gov/category/900/),""
92,"First EuCAPT Annual Symposium",[[talks]](/cosmotalks/talks?series=92),[[website]](https://indico.cern.ch/event/853904/contributions/),"slides at website"
72,"Galileo Galilei Institute",[[talks]](/cosmotalks/talks?series=72),[[website]](https://www.ggi.infn.it/),""
195,"Giambiagi Winter School on Cosmology",[[talks]](/cosmotalks/talks?series=195),[[website]](https://www.youtube.com/playlist?list=PLNbPNPgqTfs78G4m2g7uVpLEEAnDn75h0),"<a href=""https://indico.ictp.it/event/10190/other-view?view=ictptimetable"">lecture notes and slides</a>"
75,"Golden Webinars in Astronomy, Astrophysics, and Cosmology",[[talks]](/cosmotalks/talks?series=75),[[website]](https://astro.uc.cl/en/item-3-menu-izquierdo-2/573-golden-webinars-in-astrophysics-now-on-youtube),""
96,"Gravitational-Wave Primordial Cosmology (May 2021)",[[talks]](/cosmotalks/talks?series=96),[[website]](https://indico.in2p3.fr/event/23850/contributions/),""
100,"Gravity Seminars SISSA",[[talks]](/cosmotalks/talks?series=100),[[website]](https://www.youtube.com/channel/UCEzvfKbk0kNf3tjohP97FnA/videos),""
101,"Growth of Structure over Cosmic Time (UCSC summer series 2021)",[[talks]](/cosmotalks/talks?series=101),[[website]](https://growthofstructure.sites.ucsc.edu/),""
179,"Harvard CMSA",[[talks]](/cosmotalks/talks?series=179),[[website]](https://www.youtube.com/@harvardcmsa7486/videos),"<a href=""https://cmsa.fas.harvard.edu/event/phase-transitions/"">early universe workshop</a>"
104,"Heidelberg Joint Astronomical Colloquium",[[talks]](/cosmotalks/talks?series=104),[[website]](https://www.youtube.com/user/AstronomyHeidelberg/videos),""
28,"HEP/Astro Results Forum",[[talks]](/cosmotalks/talks?series=28),[[website]](https://sites.google.com/view/hepastroresultsforum/home),""
127,"HERA RAS Meeting",[[talks]](/cosmotalks/talks?series=127),[[website]](https://www.youtube.com/watch?v=sk2cHU3sTtU&list=PLHQ2xmFR6u__wsnPo2vW_WHCQQYnXBsi9),""
